xdes, ydes, zdes, vxdes, vydes, vzdes, phides, thetades, psides, x, y, z, vx, vy, vz, phi, theta, psi
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164427, -0.484228, 0.189763, -0.00115683, -0.000743375, -0.00127217, -0.0462615, -0.0151579, -0.0543752
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164401, -0.484236, 0.189749, -0.00192576, -0.000826587, -0.000949871, -0.0462261, -0.0152024, -0.0543707
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164407, -0.484251, 0.189755, -0.00164198, -0.000863326, -0.000651595, -0.0463165, -0.0152488, -0.0544146
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164416, -0.484257, 0.189775, -0.00122369, -0.000899309, -0.000606758, -0.0462841, -0.015231, -0.0543902
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164433, -0.484276, 0.189763, -0.000584033, -0.00100265, -0.00116826, -0.0463299, -0.0152248, -0.0544435
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164426, -0.484269, 0.189799, -0.00106196, -0.000784428, -0.00121144, -0.0462351, -0.015217, -0.0544029
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164426, -0.484269, 0.189799, -0.00106196, -0.000784428, -0.00121144, -0.0462351, -0.015217, -0.0544029
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164427, -0.484229, 0.189732, -0.000872928, -0.000309002, -0.00197255, -0.0461437, -0.0153791, -0.0544419
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164427, -0.484235, 0.189712, -0.000377465, -0.000476005, -0.0018706, -0.0461213, -0.0153917, -0.0544035
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164427, -0.484207, 0.189724, -0.000200288, -0.000274083, -0.00131615, -0.0461651, -0.0154104, -0.0545341
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164483, -0.484252, 0.189708, 0.000534078, -0.000839223, -0.000889684, -0.0462854, -0.0154073, -0.0545289
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164493, -0.484264, 0.189693, 0.000789181, -0.00107327, -0.00115385, -0.0462928, -0.0153953, -0.0546138
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164521, -0.484339, 0.189721, 0.000405779, -0.00148635, -0.000886803, -0.0462508, -0.01542, -0.0547495
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164527, -0.484354, 0.189713, 0.00065468, -0.00147526, -0.000795657, -0.0462495, -0.015412, -0.0547504
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164495, -0.484367, 0.189724, 0.000420135, -0.00143673, -0.000649432, -0.0462087, -0.015475, -0.0548513
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164507, -0.484388, 0.189718, 0.000880994, -0.00180718, -0.000474273, -0.0461641, -0.0154675, -0.054861
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164507, -0.484388, 0.189718, 0.000880994, -0.00180718, -0.000474273, -0.0461641, -0.0154675, -0.054861
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164566, -0.484325, 0.189807, 0.00189745, -0.00108653, 0.000386668, -0.0460081, -0.0154837, -0.0548331
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164581, -0.484342, 0.189806, 0.00140674, -0.00145729, 1.10107e-05, -0.0459935, -0.0154862, -0.0548096
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164556, -0.484308, 0.189851, 0.000880939, -0.000725207, 0.000335369, -0.0459367, -0.0154551, -0.0547912
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164562, -0.484322, 0.189851, 0.000565194, -0.00117553, 0.000161164, -0.0459452, -0.015448, -0.0548197
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164591, -0.484399, 0.189817, 0.000669177, -0.0020621, -0.000274003, -0.0460286, -0.0155016, -0.0548652
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164655, -0.48443, 0.189853, 0.00181257, -0.00223267, 0.000168121, -0.0461181, -0.0154944, -0.0548778
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164622, -0.484401, 0.189844, 0.000898354, -0.00155944, -0.000493345, -0.0461028, -0.0154073, -0.0548975
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164688, -0.484433, 0.189808, 0.00147759, -0.00176907, -0.000845612, -0.0462035, -0.015515, -0.0548473
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164704, -0.484453, 0.189798, 0.00150613, -0.00183358, -0.000810669, -0.0461915, -0.0154905, -0.0548428
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164704, -0.484453, 0.189798, 0.00150613, -0.00183358, -0.000810669, -0.0461915, -0.0154905, -0.0548428
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164672, -0.484463, 0.189846, 0.000918437, -0.00168564, -0.000429514, -0.0460622, -0.0154626, -0.0549041
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164674, -0.48448, 0.18984, 0.000386293, -0.00166483, -0.000493559, -0.0460862, -0.0154913, -0.0549252
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164582, -0.484329, 0.189958, -0.00042839, -0.000140009, 0.001387, -0.0458292, -0.0152787, -0.0549042
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164532, -0.484307, 0.189947, -0.000609592, 4.8393e-05, 0.000930826, -0.0458058, -0.0153478, -0.0548868
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164531, -0.484309, 0.189961, -0.000181812, -8.81204e-05, 0.00113457, -0.0458094, -0.0153659, -0.0549064
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.16455, -0.484303, 0.190016, -0.000167989, -1.40176e-05, 0.00133022, -0.0456401, -0.0151429, -0.0549208
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.16455, -0.484303, 0.190033, -9.94284e-05, -4.93374e-05, 0.00152498, -0.0456277, -0.0151355, -0.0549351
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164517, -0.484296, 0.190031, -0.000767717, 2.16612e-05, 0.00116101, -0.0456463, -0.0151337, -0.0548683
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164552, -0.484307, 0.189984, -0.00037534, -0.000224556, 0.000804591, -0.0456802, -0.0150976, -0.0548632
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164552, -0.484307, 0.189984, -0.00037534, -0.000224556, 0.000804591, -0.0456802, -0.0150976, -0.0548632
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164557, -0.48436, 0.18999, -0.000730731, -0.000664591, 0.000638743, -0.0455935, -0.015028, -0.0549815
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164543, -0.484369, 0.189996, -0.00121766, -0.000698081, 0.000375765, -0.0455783, -0.0150148, -0.0550248
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164557, -0.484302, 0.189966, -0.000657336, 8.16144e-05, 0.00041969, -0.0454809, -0.0150849, -0.0550207
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164545, -0.484261, 0.189962, -0.00130054, 0.000439435, 0.000407268, -0.045424, -0.0150592, -0.0549753
