xdes, ydes, zdes, vxdes, vydes, vzdes, phides, thetades, psides, x, y, z, vx, vy, vz, phi, theta, psi
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117307, -0.508098, 0.191358, -0.00039214, 0.000740378, 0.000498855, -0.0377214, -0.00946715, -0.0461274
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117367, -0.508081, 0.191276, 0.000329442, 0.00109378, -0.000345054, -0.0376623, -0.00952249, -0.0461752
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117369, -0.508067, 0.19127, 0.000237366, 0.00131451, -0.00042998, -0.037659, -0.0095422, -0.046205
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117371, -0.508045, 0.191265, 0.000355005, 0.00169023, -8.58686e-05, -0.0374777, -0.00948026, -0.0462894
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117337, -0.508022, 0.191236, -0.000440318, 0.0015252, -0.00061955, -0.0374306, -0.00947654, -0.046263
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117417, -0.508096, 0.191223, 0.000432668, 0.000433042, -0.000494949, -0.0373397, -0.00960977, -0.0463453
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117417, -0.508096, 0.191223, 0.000432668, 0.000433042, -0.000494949, -0.0373397, -0.00960977, -0.0463453
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117323, -0.508074, 0.191133, -0.000983667, 0.000445863, -0.00179287, -0.037384, -0.00960769, -0.0464059
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117271, -0.508064, 0.191185, -0.0016993, 0.000605931, -0.000834797, -0.0372829, -0.0094759, -0.0465353
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117431, -0.50811, 0.191257, 0.00044519, 0.000702996, 0.000110376, -0.0372173, -0.00955751, -0.0465273
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117437, -0.508101, 0.191266, 0.000495041, 0.000854967, 0.000742174, -0.0372302, -0.0095878, -0.0465091
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1175, -0.508149, 0.191283, 0.000954406, 0.000298917, 0.000363206, -0.0370777, -0.00964735, -0.0464984
