xdes, ydes, zdes, vxdes, vydes, vzdes, phides, thetades, psides, x, y, z, vx, vy, vz, phi, theta, psi
0, 0, 0, 0, 0, 0, -0.00033291, -0.000149161, -0.309231, -5.27927e-05, 6.98605e-05, -0.000124141, -0.000401263, 0.000133479, -0.00146541, -0.0197673, -0.00566842, 0.09781
0, 0, 0, 0, 0, 0, -0.000205374, -0.000157032, -0.309394, -5.63074e-05, 6.62381e-05, -0.000139547, -0.000184373, 0.000208408, -0.00131206, -0.0198256, -0.00566323, 0.0978494
0, 0, 0, 0, 0, 0, -9.48648e-05, -0.000173733, -0.309305, -5.72784e-05, 6.45318e-05, -0.000144919, 2.14578e-05, 0.000236513, -0.00107822, -0.019827, -0.00568101, 0.0979386
0, 0, 0, 0, 0, 0, -0.0001158, -8.31175e-05, -0.309429, -5.72784e-05, 6.45318e-05, -0.000144919, 2.14578e-05, 0.000236513, -0.00107822, -0.019827, -0.00568101, 0.0979386
0, 0, 0, 0, 0, 0, -0.00011853, 1.97807e-06, -0.309711, -5.23231e-05, 6.15104e-05, -0.000143393, 0.00037304, 0.000118587, -0.000880869, -0.0198767, -0.00564954, 0.0979185
0, 0, 0, 0, 0, 0, -5.49471e-05, 0.000142776, -0.309648, -4.50529e-05, 5.99241e-05, -0.000138491, 0.000607571, 0.000115134, -0.000761457, -0.0199231, -0.00571989, 0.0979493
0, 0, 0, 0, 0, 0, -5.49471e-05, 0.000142776, -0.309648, -3.64661e-05, 5.76305e-05, -0.00012865, 0.000756894, 7.6279e-05, -0.000548635, -0.0199283, -0.0057455, 0.0979702
0, 0, 0, 0, 0, 0, -4.335e-05, 0.000241025, -0.309745, -3.01914e-05, 5.35992e-05, -0.000116958, 0.000748371, -5.294e-05, -0.000396269, -0.0199282, -0.00574656, 0.0979642
0, 0, 0, 0, 0, 0, -2.04065e-05, 0.000303354, -0.309811, -2.08655e-05, 4.78136e-05, -0.000111831, 0.00085006, -0.000169925, -0.000509293, -0.019898, -0.00579121, 0.0979295
0, 0, 0, 0, 0, 0, 3.36929e-05, 0.000296562, -0.309792, -8.96657e-06, 3.77824e-05, -0.000105563, 0.000964524, -0.000391323, -0.000388719, -0.0198455, -0.00573906, 0.0979283
0, 0, 0, 0, 0, 0, 8.78641e-05, 0.000336321, -0.309682, 5.37504e-06, 2.34347e-05, -9.90838e-05, 0.00112401, -0.000674117, -0.000293643, -0.019862, -0.00571347, 0.0979215
0, 0, 0, 0, 0, 0, 0.000186801, 0.000377834, -0.309679, 2.1784e-05, 7.64874e-06, -9.25138e-05, 0.00138423, -0.000915183, -0.000205188, -0.0198151, -0.00570292, 0.0978805
0, 0, 0, 0, 0, 0, 0.000314178, 0.000435976, -0.309657, 3.88136e-05, -7.13654e-06, -8.5643e-05, 0.00156014, -0.000958283, -0.000115843, -0.0198412, -0.00567583, 0.0978993
0, 0, 0, 0, 0, 0, 0.000429026, 0.000537721, -0.309527, 3.88136e-05, -7.13654e-06, -8.5643e-05, 0.00156014, -0.000958283, -0.000115843, -0.0198412, -0.00567583, 0.0978993
0, 0, 0, 0, 0, 0, 0.000459078, 0.000613096, -0.309587, 5.17679e-05, -1.96553e-05, -7.40829e-05, 0.00156857, -0.000912179, 0.000151809, -0.0198476, -0.00565648, 0.0978755
0, 0, 0, 0, 0, 0, 0.000444981, 0.000622247, -0.309512, 5.98136e-05, -2.30061e-05, -6.57474e-05, 0.00146406, -0.00048928, 0.000120864, -0.0198293, -0.00564994, 0.0978615
0, 0, 0, 0, 0, 0, 0.000444981, 0.000622247, -0.309512, 5.7997e-05, -1.2421e-05, -6.45451e-05, 0.00114597, 0.00016271, -0.000107737, -0.0199054, -0.00571804, 0.0978486
0, 0, 0, 0, 0, 0, 0.000268741, 0.000598901, -0.309467, 5.16792e-05, 9.79209e-06, -7.0077e-05, 0.000889679, 0.000842391, -0.000384933, -0.0198857, -0.00572144, 0.097803
0, 0, 0, 0, 0, 0, -1.47724e-05, 0.000494458, -0.309427, 4.34349e-05, 3.03372e-05, -7.76371e-05, 0.000723578, 0.000987043, -0.000528738, -0.0198597, -0.00573002, 0.0977842
0, 0, 0, 0, 0, 0, -0.000310971, 0.000415368, -0.309282, 3.315e-05, 4.69264e-05, -8.75605e-05, 0.000558644, 0.000970934, -0.000679878, -0.0198166, -0.00569928, 0.0978094
0, 0, 0, 0, 0, 0, -0.000383764, 0.000351086, -0.309223, 2.11894e-05, 6.13114e-05, -9.6534e-05, 0.000453277, 0.000907765, -0.00067423, -0.0198324, -0.00574384, 0.0978425
0, 0, 0, 0, 0, 0, -0.000389405, 0.000280063, -0.309303, 1.41847e-05, 6.32516e-05, -9.69642e-05, 0.000621473, 0.000447814, -0.000369447, -0.019745, -0.00572988, 0.0977644
0, 0, 0, 0, 0, 0, -0.000372739, 0.000230976, -0.309407, 1.18652e-05, 5.51705e-05, -9.21789e-05, 0.000764471, -7.23627e-05, -4.58268e-05, -0.0198108, -0.00578029, 0.0978199
0, 0, 0, 0, 0, 0, -0.000178387, 0.000279233, -0.30916, 1.18652e-05, 5.51705e-05, -9.21789e-05, 0.000764471, -7.23627e-05, -4.58268e-05, -0.0198108, -0.00578029, 0.0978199
0, 0, 0, 0, 0, 0, 4.30836e-05, 0.000315971, -0.309336, 9.07596e-06, 5.32618e-05, -9.07354e-05, 0.000804265, -3.89317e-05, -4.72798e-05, -0.0197832, -0.00582633, 0.0978404
